u"It isn't."	'Note to self: when eating at a BBQ place, get the stupid BBQ. This steak is awful :(\n'
u'My tips lasted 4 weeks with very minmal lifting!'	'Was recommended by my mechanic... Very quiet. Alittle pricey. Great food!\n'
u"I didn't want to return the dress to the store because I loved the colors, style and length."	'Tuesday Hummus special is Spicy Red Pepper Hummus.\n'
u'The AZ burger is delicious!'	'Amazingly fast service and the owner is very polite and honest. Highly recommended!\n'
u"I can definitely tell it was store bought but if it's good, I can't complain."	'Only $45 for an ABS brake diagnosis versus places like Pep Boys charging $107. Worth the drive from the Matthews area.\n'
u'I stated I would call after my appointment to have them faxed again.'	'They have cute games you can play that are a lot of fun!\n'
u'Addison gave me great recommendations for my own bike purchase as well!'	'Come to run club at 630pm on Friday nights and enjoy a free 6oz beer and music bingo after!\n'
u'Great healthy food, great atmosphere!'	"The best coffee I've ever tasted. I wish they'd open a location in North Scottsdale.\n"
u'I prefer the more natural look and she always delivers!'	'Great family place!! Well staffed and the food was delicious!\n'
u'Other then that the food is good and the service is usually good for what it is, and the price is also right.Finally an Asian spot on the east side!'	'I love their scallion pancakes.\n'
u'Other then that the food is good and the service is usually good for what it is, and the price is also right.Finally an Asian spot on the east side!'	'Yum\n'
u"They also have a huge selection of microbrews and high gravity beers in addition to a large selection of tequilas.This is one of the few places that I've found in the UNLV area that has decent vegan options."	'Apparently you can get vegan stuff here! They will even make vegan sundubu\n'
u"NOTE: this review is based on what I have tried, so get chocolate wasted on your own choices ;)So I'm a fan of breakfast, aren't you?"	'All you can eat $13.99 from 11pm-5am & 16.99 from 10am-11pm\n'
u'So there you have it.'	'Make sure you sign in if you are there for the AYCE part of the restaurant. The other half is ala carte, you just go and take whatever table is available.\n'
u'So there you have it.'	'Menu as of 1/2/14.\n'
u'Jolibee has some pretty delicious filipino based food.'	'Happy hour starts at 10pm.\n'
u"Not quite as good as mom's, but it never is, an I right?"	'Been meaning to come here forever...review to follow\n'
u'Best place to go!!'	'Dinner time yes!! Craving this place :)\n'
u"I'm not sure if they offer tactical training.I stop and get gas here all the time and usually it is fine."	'Ask for Marco !\n'
u'I got a Groupon for this place and was not impressed.'	'Way too overpriced for the same products as other grocery stores\n'
u"All in all, we'll stay at the Clarendon again."	'Get the daily special. Guaranteed to be tasty.\n'
u"All in all, we'll stay at the Clarendon again."	'It may be busy when you get here and you may have a little wait, but IT WILL BE WORTH WAITING!\n'
u"If you want great service you need to go see my friends at Wigwam Creek Dental.So this is the 3rd time I've been here with my wife and it just don't get no better."	'Having dinner with my sweetie\n'
u"I wasn't sure how to feel about El Hefe coming to Mill ave since I really liked Canteen But it is nice and the layout is still the same, I like the pink scheme Courtney is an absolute doll behind the bar If you have the chance, ask for her and she will take care of you El Hefe has a great happy hour The house margs are only $5 The also have drafts pretty cheap as well I shall return and hopefully try the foodThis Mimi's Cafe is pretty dated It didn't bother me too much but I just thought I would throw that out there The carpet is pretty old The decor is charming The food and service were pretty good We had a feeling it would be a bit busier on a Sunday morning and when we got there, we were informed there would be a 5-10 minute wait, fine with us We were seated in a booth and offered menus and drink orders I got water and grapefruit juice and I love the grapefruit juice and the cup it came in Our server was pretty busy as she had a huge section to cover but she did her best to get around to us and everyone else... As far as food, the menu is pretty small but it seems like Mimi's has updated their options... Not that I knew their menu before but it just seemed up to date in comparison to other restaurants..."	'Battling!\n'
u"It's as close to authentic which is very rare to find in town."	'Make sure you come early on weekends!!\n'
u"This is now Dilon's---a BBQ joint with decent food."	'Standard cracker barrel. Good as always...nothing new on the menu.\n'
u'We Loved the adventure of not knowing what was to come out next and got to try a few different items we normally would never order, like sweet breads and boar bacon!'	'Getting me some old country breakfast!\n'
u'We want to take some friends back...might not be able to sit in the bar ( we went on a Wed. during happy hour and it was full) , but the back room looked like you can hang out with a group a little more comfortably.'	'date night continues with my Jeannie...Vig revisit was long overdue. smoked salmon was fantastic and the Vig wings were as good as ever!\n'
u"I wouldn't come to this location.The pharmacy gets 5 stars, and the rest of the store gets 2, for an average of 3-ish."	'Nice and quiet Sundays at lunch time - brunch available until 3pm!\n'
u'!the food was delicious!!!'	'Love the food and appetizers\n'
u'So needless to say I will be back again the next two Thursdays to get my fix.This place is still, after almost two years, my favorite nail salon to go to.'	'Bday celebration #2\n'
u'So needless to say I will be back again the next two Thursdays to get my fix.This place is still, after almost two years, my favorite nail salon to go to.'	"Waiting for my girlfriends! They better hurry up cuz I'm hungry!!!\n"
u"Sundays couldn't be sweeter without a frequent stop here at Rokerij."	'Fantastic place to chill and enjoy the scenery! Great staff, too!\n'
u"Sundays couldn't be sweeter without a frequent stop here at Rokerij."	'Fun!Adam (the bartender who is NOT named after the most famous man in the world) is unbelievably charming/pleasure to joke with. Drop in!\n'
u"Sundays couldn't be sweeter without a frequent stop here at Rokerij."	'The Suns games, the vibe and the swag all attract me to The Vig Uptown. Thank you, Jason , for wonderful service. Peace.\n'
u'Gorgeous!!!'	'Deconstructed fish taco salad!!!!! I have been craving it! I need it!!!!\n'
u'Gorgeous!!!'	'Fish taco salad only after two. And mustard on the burger worst day ever.\n'
u'this is not a place for you.'	'Crunk cup + fire pit + first date= great times!\n'
u'this is not a place for you.'	'Dessert-thirty!!!\n'
u'this is not a place for you.'	'This place rocks.\n'
u'It is an amazing way to watch at movie.'	'go for happy hour. they have a separate menu with discounted prices!\n'
u'The 30ft.'	'Burger nyt\n'
u'The 30ft.'	'Gonna try the AMber scrambler with the bread on the side. There you go Hot Stuff = )\n'
u'The 30ft.'	'HH pork street tacos beat out the carne tacos by a mile\n'
u'The 30ft.'	'Reverse happy hour\n'
u'The 30ft.'	'To be honest i have two of tbe hottest ladies next to me\n'
u'What they lack in "curb appeal" they make up for in friendly staff.'	'Trying the Turkey Sand rage!\n'
u'The lady was nice to let us try some of their flavors.'	'Check the expiration date before you purchase.\n'
u"but now I don't have to pay for parking I am a happy camper."	'I wanna stay here....\n'
u"but now I don't have to pay for parking I am a happy camper."	'My own tv, wheeee...\n'
u"but now I don't have to pay for parking I am a happy camper."	'Wheeee...lets get this weekend started right!\n'
u"but now I don't have to pay for parking I am a happy camper."	"Where's the punching bag?\n"
u'I told my friend about this place and he and his wife were so happy with this place she made me food and she is an excellent cook!This is a great hiking area.'	'Another stair master down. 4 out of 8. I wonder if they are still under warranty?\n'
u'You cannot come here and not get this.'	'#gohardorgohome\n'
u'You cannot come here and not get this.'	'Best LAF in town\n'
u'You cannot come here and not get this.'	'No shade, Cardio time\n'
u'You cannot come here and not get this.'	'So spacious, nice layout\n'
u'The GM was very cool with me and since he got transfer to a new LA Fitness nothing isnt the same no more!'	'#hulksmash 19 days until nationals!\n'
u"So I don't know why some are making it a big deal if they're not Japanese owned *shrugs* I admit the service can be really slow, especially when they only have one server on a busy night but they've always been friendly and they always check up on you."	'Date ^^\n'
u"Do yourself a favor and go.There are many sushi restaurants in town that are pretty good, but it's rare to find one with excellent food and great ambience."	'Chicken parm!\n'
u"Both my fella and I were thrilled with all food we ordered, even though we definitely ordered a little too much, but we can't wait to come here again soon!I have had my eye in thai location for a little bit."	'Al dente.\n'
u'I was dizzy for a sec while we were playing but once adjusted it was fun.'	'BOGO burrito or salad until 7/5/15. Great deal! http://www.caferio.com/bogo-az-june\n'
u'I was dizzy for a sec while we were playing but once adjusted it was fun.'	'Do NOT go during busy lunch or dinner hours unless you have 38584 hours to spare while waiting in line.\n'
u"Although it is a pop up restaurant, I'm sure this place is here to stay for a couple years :)This is based solely on food and service."	'Opens long weekend Mondays!\n'
u"Although it is a pop up restaurant, I'm sure this place is here to stay for a couple years :)This is based solely on food and service."	"Punctuality is key here. I'm amazed.\n"
u"A couple of my friends chose the Carpaccio (raw) beef, the other popular appetizer to get if you don't want something too rich and heavy."	"Confirm the location if you are booking via phone. Also don't be late for your appointment.\n"
u"A couple of my friends chose the Carpaccio (raw) beef, the other popular appetizer to get if you don't want something too rich and heavy."	'Recommend Keiko for hair dye stylist.\n'
u'If you like sushi, this place is a must try.1967 was the first time I went to the CNE as a baby and I have not missed a year sence.'	"Make sure you do your homework no one knows nothing they just want to sell you insurance that's the only thing they know\n"
u'If you like sushi, this place is a must try.1967 was the first time I went to the CNE as a baby and I have not missed a year sence.'	'Price match all the time\n'
u"That aside, the churro cone itself was just okay (personally wouldn't line up for it again) but the 4 stars is more for their actual churros, which will keep me coming back whenever I'm in the Kensington area.I came here with my husband for his birthday a few days ago since we were craving Thai food."	"Plan ahead and make a reservation using Open Table - Byblos books up fast! You could try doing a walk-in but we tried it one time and we didn't get called back until almost 2.5 hours later. By that time, we had already found another place to eat that wasn't as busy. Reservations are a must here if you want to make your life easier!\n"
u"What they had wasn't my ideal but they were nice."	"1.28.17 Hours are posted on Yelp page reflects OPEN. As of 6:17pm Jan. 28th they are still 'Coming Soon'\n"
u"What they had wasn't my ideal but they were nice."	'CANNOT combine 50% off regular bowl with your Yelp review, with the stamp card; either for new stamps or use of card.\n'
u"What they had wasn't my ideal but they were nice."	'Day 2 - March 2nd, 2017... Free soft drink for soft opening!!!\n'
u"What they had wasn't my ideal but they were nice."	'Frequent addict card available!!! 1oth purchase FREE. Ask management for details.\n'
u"What they had wasn't my ideal but they were nice."	"THEY'RE HIRING!!! Not yet open as of 2.8.17 @ 6:59pm\n"
u'You get that?'	'Challaaaaaaaah!\n'
u'You get that?'	'Last day before Batch moves to new space.\n'
u'Well come back for for lunch and dinner too!If you want a great yummy breakfast with excellent service, come here!'	'Brioche Sandwich cookies\n'
u'And I appreciate that the staff is always willing to answer any questions I have about the plague or pestilence threatening to do in my garden beds.'	'The vanilla swirl roll = foodgasm\n'
u'They really encourage you to try on all the frames you want.'	"They have a pastry called the crostada and it is delicious. It's like a breakfast casserole in a pie shell\n"
u"Be here or be square.Ian's Pizza for breakfast is now a thing and it's amazing."	'Batch makes the best croissants.\n'
u"Be here or be square.Ian's Pizza for breakfast is now a thing and it's amazing."	"Frangipane Croissant. you need it. just get a gruy\xc3\xa8re croissant too, so it doesn't feel abandoned\n"
u"Be here or be square.Ian's Pizza for breakfast is now a thing and it's amazing."	'ahhhh their cookies are so good. oatmeal butterscotch yo.\n'
u"Be here or be square.Ian's Pizza for breakfast is now a thing and it's amazing."	'caramelized onion focaccia. aka carby goodness.\n'
u"Be here or be square.Ian's Pizza for breakfast is now a thing and it's amazing."	'gruy\xc3\xa8re croissant. best croissant of my life.\n'
u"If you're planning to eat here, or really intent on eating here...I would say that their best out of all dishes would be the chicken teriyaki."	'Check out their holiday menu!\n'
u'I am so happy we went too because the food is pretty yummy!'	'AYCE Pancakes for $4.99.\n'
u'I am so happy we went too because the food is pretty yummy!'	'This location is so busy!\n'
u'Food: Cuban sandwich (their version) x 2 one for moi and one for my daughter.'	'Great place, great choices, super friendly staff.\n'
u"It's great for happy hour - you can get a flatbreads, hummus and pita and the most delicious fried calimari at 2 for $10 between 5 - 7 p.m.This place is new to Charlotte, but I have a feeling it will be around for a while."	"Amesha is amazing with makeup and eyebrows. She keeps your brow nice and full, but still shapely. Kait is very detail-oriented on nails, and she's a joy to be serviced by. Both ladies add joy to my Saturdays.\n"
u"I have had it and it's good."	"As of late, the level of spiciness in various lunch dishes has been kicked up several notches! It's best to let the server know how spicy you want your dish to be and ask for more water. =)\n"
u"I have had it and it's good."	'Lunch specials range from $8.99 to $9.99. You get your main meal choice that comes with rice, unless you have a noodle dish, vegetarian spring rolls, salad, and an orange wedge.\n'
u"It is all you can eat so I don't really have a problem with it."	'First time here! Actually very impressed!\n'
u'The quantity of Meat in the Shawarmas is very good and they make it juicy as well with the added sauces.'	'Best Hakka Chinese !!\n'
u'The quantity of Meat in the Shawarmas is very good and they make it juicy as well with the added sauces.'	'Best Hakka Chinese in town !!\n'
u'AMAZING FOOD!'	'Chicken corn Soup,Manchurian chicken, manchurian noodles, chili chicken, crispy beef and their veg fried rice !! OMG amazing. Huge portions! Their won ton soup was the best but they took it off not sure why. Overall amazing tasty food best Hakka in town!\n'
u'I will definitely give this place my blessings for people to go for quick eatery and satisfy the salty cravings.'	'Lunch time menu is cheap and plentiful. Best time to go!\n'
u'So there you have it, why we are a Harkins family.Everything about this place is comforting.'	'To be continued\n'
u"Seriously you should try something new everytime you come!I'm from Chicago and this is the REAL DEAL."	'Delicious gyro + fries served w/ friendly service & a smile :) good price too!\n'
u'I had to return some sandals I bought for my granddaughter and not knowing better I misjudged her size.'	'Seeing Kinky Boots with my daughter in law. So excited will write more later. I can tell you Parking sucks\n'
u'It was that good.'	"Green Day's American Idiot\n"
u"My other friend wanted to substitute something for eggs in her meal and the waitress refused to work with her and basically just told her she couldn't."	'Student tickets are half price on the day of the show! :)\n'
u'Nice new location with the same small feel and long lines to get in.'	'Parking is the worst for seeing Sound of Music on a Wednesday! Arrived an hour earlier took a half hour to park and walk to Gammage\n'
u'I know that this place must doing okay they have been on the corner many years but I found nothing in the Gyro I had last night that who make me want to stop in again.'	'Have you heard they renamed it the Progressive Auditorium. They have progressive insurance commercials seriously\n'
u"I've been coming to this place a lot, so it's time to give them my yelp review."	'Going to see WICKED!\n'
u"I've been coming to this place a lot, so it's time to give them my yelp review."	'Watching Fiddler on the roof!\n'
u'It is a lot of fun and I am getting a great workout.This is where I come to get some good old Korean food.'	'So excited to see wicked!!\n'
u'So here are the things that need help that cause me to give this store just 3 stars: I have found that at this particular location though, you cannot at all trust the sizing on the hangers and you really do need to check the garment itself to confirm the size you are purchasing.'	'Million Dollar Quartet! Date night with my son! :)\n'
u'So here are the things that need help that cause me to give this store just 3 stars: I have found that at this particular location though, you cannot at all trust the sizing on the hangers and you really do need to check the garment itself to confirm the size you are purchasing.'	'Seeing the grinch with my best boy!\n'
u'So here are the things that need help that cause me to give this store just 3 stars: I have found that at this particular location though, you cannot at all trust the sizing on the hangers and you really do need to check the garment itself to confirm the size you are purchasing.'	'Wicked night to see Wicked!\n'
u'There are a lot of different add-ons you can put in the soup, and I was happy to see that they had tea eggs on the menu!'	'Four free hours of parking at City Hall and US Airways parking garage when you show your ticket stub\n'
u"But, the line went by fast - really only waited 15 minutes or so and then we got our food in about 10 minutes...so it wasn't as bad as we thought it was going to be."	'Witchy with wicked\n'
u'And if you love the coconut shrimp you should for sure try the Lobster in Paradise, omg the lobster in the coconut batter was amazing!!'	'Damn phone lol here for mamma Mia :)\n'
u'It was perfectly light and left you with room for drinks.'	'Thursdays are $3 small pasta or pizza with 3 toppings.\n'
u'The sauce was creamy, but not too rich and I loved that they had used the heat of the dish to wilt the arugula instead of cooking it down.'	'Great for a quick bite before a baseball game... Or anytime! I was so glad to see this place when I moved back to Cleveland from Chicago. Make sure you grab an oatmeal chocolate chip cookie!\n'
u'All were good and the atmosphere was wonderful.'	'This restaurant is small so I recommend reservations. The owner speaks perfect English, the food is always wonderful, and great value.\n'
u"That's a sign that their food is good!"	"Ask for Youri!!! She was super awesome & I actually left the salon happy with my haircut! She's not a talker though. So, either bring something to read or watch the Korean shows playing on the screen.\n"
u"That's a sign that their food is good!"	"If you go with Youri: It's $35 for a haircut, and that includes wash, shampoo, condition, and style (straightened)! She DOESN'T accept the the coupon on Yelp though.\n"
u'Just file this place under my ongoing list of "Thank God I don\'t live close" places!!'	"Drove by three times!! It's in the back of an industrial / warehouse row!!\n"
u'Just file this place under my ongoing list of "Thank God I don\'t live close" places!!'	'Must do the Zuess Juice!!!\n'
u'This place is great!'	'"Fortunate Son" by Fogerty...right into "Baby Come Back" by Hall N Oats...can they see my boner??!!\n'
u'It was.'	"Gift shop to the right, order at the bar and they'll bring it to your table, get the soft pretzel.\n"
u'Every pizza is made fresh from scratch (as you can see from the open kitchen and dough making areas) and you can taste the difference.'	'Great!\n'
u'I really do like their food.'	"You can sample some items, like Rachel's Chicken Salad or Curry Chicken Salad.\n"
u'That one is just as tasty!'	'Opening Day Today! Open until 9pm...come on down!!!!\n'
u'That one is just as tasty!'	"They WON'T do burgers medium rare...:( Medium to well only...\n"
u'Great place!'	'Free wine\n'
u'Great place!'	'Good for lunch. Wholesome\n'
u'Great coffee and great food :)'	'Really great service!! Great garden burger :)\n'
u'I hate when chili is too watery so this one has the perfect consistency.'	'For all you Pokemon trainers: 10% off your order for levels 11+! (5% for basically downloading the app)\n'
u"The guided aspect was great for the mansion, but I didn't care for it for the museum, I would have preferred to just wander through on my own - we were there almost 3 hours total, when about an hour would have been sufficient for me."	'They have almond milk for coffee - yay!! :)\n'
u"Good thing that I found out otherwise I'd rather go to a super good steakhouse for $70+ instead of a buffet.. Now it's kinda annoying that I need to check my credit card for a few times to make sure they reimbursed me.. Ugh I hope that they had lobsters or crabs or oysters at the seafood section.I have been to this place way too many times and every time I go there, I order their chap chae (clear noodle with beef)."	'You have to get the jade tofu!!\n'
u"I'll be back for sure, just not for that hummus.Umm--this place is a Christmas wonderland full of the most glorious, crafty treasures."	"It's small, but can accommodate larger groups!\n"
u'The staff are very friendly and they took care of my baby like a pro!'	'The sushi tastes amazing! like sex in my mouth. and it comes for a good price.\n'
u'This place is awesome!'	'Love this place. Best sushi in town! I would recommend trying this place out.\n'
u'Seems to always have a great crowd even on weekday nights!'	'Eating sushi w Jo\n'
u'Seems to always have a great crowd even on weekday nights!'	'Grabbin a bite with Josephine\n'
u'Seems to always have a great crowd even on weekday nights!'	'Great spacious sushi hotspot. Enjoying nice great eats with Jo after a long day of swimming and drinking.\n'
u"I haven't been back for a while just because there was always another sushi spot that I just I had to try."	'No time limit for AYCE. You in trouble.\n'
u'We took our king Charles spaniel there the first day they opened.'	'Deeeeeelish!\n'
u'Sake prices in the restaurant are silly.Will the owner and his family are fantastic people that go out of their way for the right kind of customer service.'	'The crazy jalape\xc3\xb1o is a must try\n'
u"I want to try all of them!Whether you're a local or in town looking for great food & a good vibe, Andrea's is the place to be."	'Best happy for sushi ever!\n'
u'The staff is awesome with friendly smilings and making sure your drinks are always refilled.'	'If you want fast service, esp on busy nights. Please sit in the bar\n'
u'Great service & there was a great looking crowd.'	'Great place to get a bite to eat late night. Non Gmo & best craft beer selection in CLE\n'
u"You'll have our business again.I came here on a Friday night with a friend and we sat on rooftop patio."	'Loved the Juicy Lucy ! (Meat stuffed with cheese)\n'
u"My boyfriend and I said it tasted like Chef Boyardee's :/ I would not be back."	'Worth the trek to visit Mean Bao or Bahn Mi Boys if you want a good hearty Bao!\n'
u'The portion is small and is somewhat on the expensive side considering what you pay for (close to $12 for a quarter chicken and one side).'	'This place is at the back of the plaza where congee queen is.\n'
u'Last night, it\'s all: "Oh no you\'re too full, put that curry crab down, you never want to see curry in your life."'	'Order the Yelp: a fried chicken and bulgogi bao\n'
u'One of the best donut places is the area.'	'Great place to stop for a beer after a bike ride . Located right on south side trial .\n'
u"Make sure to visit the beer cave while you are there and their section of take-out beer for an even larger selection.When we went here, we didn't realize that it was a real working farm."	'The hefeweizen is great. Try it.\n'
u'It was not good.'	"Just drink, don't eat here...trust me!\n"
u'Remember to bring exact change for the fare because they do not take credit cards or give change back!When we went to RA it was a Sunday night and this place was hoppin at 9:30.'	'Sit in the beer hall to get the full experience, try the sausage plate for dinner!\n'
u'Very light on selections for breakfast but a good place to grab a drink and power bar.'	'Always a favorite of mine!!!\n'
u"We were disappointed but our opinion of the place hasn't changed - Kristopher's in known for their breakfast (which is served all day) and everything we've had up until now has been exceptionally tasty so we're gonna to keep on going but stick to the breakfast menu.As far as the food goes, this place is A-OK. As an Eat 'n Park, I give this location 4 stars."	'If Eve is your waitress. ..ask for a new one\n'
u'especially if you have children- there are a lot of things to do.Awesome everything.if you like spicy food you will love it here.'	'Bi bin bop\n'
u'A little high for a lunch special but not for the amount of food.'	'Sushi happy hour - 50% off lots of rolls and apps. Buy 2 get 1 free drinks. 30% off sushi.\n'
u'The best italian restaurant in town.'	'Nice place. Large dinning room. And of course great nagiris.\n'
u'This is the place.'	'Great seating options for large parties.\n'
u'This is the place.'	"It's always happy hour, practically. 50% off sushi.\n"
u'This is the place.'	'The place was hopping on a Saturday night.\n'
u'This is the place.'	"When isn't it happy hour?:)))\n"
u'You order at the counter and they bring it to you.'	'Miso soup is extra $$ during lunch AYCE??!!!!?!?\n'
u"Anyways juice standard is on the $$ end but the juices are worth it and the workers try their best to serve their customers as best as they can and I'm probably gonna come back here again next week hahaI love this place too much to give them a 1 star but I really don't think they should still close early on Sunday lolol but they're always super friendly and always very helpful and I can't help but come here at least once a week."	'I love how the workers are fast and efficient\n'
u'Cleanest & nicest staff of all the Filipino eateries on this side of town.'	"50% off the rolls all weekend long. Can't best that deal!!\n"
u'Cleanest & nicest staff of all the Filipino eateries on this side of town.'	'Half off sushi menu ALL weekend\n'
u'Cleanest & nicest staff of all the Filipino eateries on this side of town.'	'Love the sushi here.\n'
u'I made my own style hot dog and had their sweet potatoe kimchi fries.'	'Crazy Jalapenos roll!\n'
u'The food here is awesome!!'	'Right now the AYCE is $23.99 to celebrate their 10th anniversary! Go there quick before its over!\n'
u'As for the Dayclub... you can contact a promoter to get you on the list because I would not pay to get in to this pool party.'	"I don't understand why they have so many open tables and make us wait. They should throw them away if they aren't being used.\n"
u"100% Guaranteed on answering those questions you've been waiting to ask your whole life :]So maybe I'm easy to please.. but In N Out is my personal favorite burger spot in Vegas."	'Post TGives :)\n'
u"100% Guaranteed on answering those questions you've been waiting to ask your whole life :]So maybe I'm easy to please.. but In N Out is my personal favorite burger spot in Vegas."	"Returning for Jon's departure.. lol\n"
u"Speaking to the rest, mostly carbs and a pair of over easy eggs, it was in these items that M&M shined - the waffles a soft wheat batter and the 'cornbread' a pair of pan fried flapjacks needing only a touch of syrup to balance the savory notes, something neither the sweet potato pie nor the banana pudding would require at all - the former a well done classic and the second far more dense than any take on the dish I've found and all the better for it, a sort of bread pudding made with only a bit of liquid and a lot of ripe bananas juxtaposing softened nilla wafers.Items selected: Nutella Latte Blueberry Scone Carrot Muffin Nutella Bombe Craquant de Cuba - chocolate crisp, hazelnut coffee cream, shortbread, toffee glaze Almond, Pistachio, Caramel Macaron Almond Croissant Located in Boca Park and representing one of the best artisan coffee shops in a city where such places are only now beginning to emerge Sambalatte was self-selected as an ideal meeting place with my Real Estate Agent early Friday morning, a substantial departure from his suggestion of the Starbucks just down the street but one that has since 'changed his whole approach' to coffee (and given me a great place to relax, drink good coffee, and enjoy the free wi-fi.)"	'Foie gras and duck with cherry fritters? Sold!\n'
u"I've had Vic put in a sound system including 15 inch subs and today I had him put in a new Viper alarm system with dual zone motion sensing and keyless entry."	'This may sound small but the water here is fresh and no chlorine taste.\n'
u"It wasn't the best i've ever had, but it was still very good!"	"Kiki's burger was juicy as heck!!! Mushroom lovers, you have to try it! It has 3 different grilled asian mushrooms: shitake, enoki and eryngii - A unique and flavorful twist.\n"
